A contribution to organizational and operational strategic alignment: Incorporating business level agreements into business process modeling,2013,3,1,0,False,True,4
To trace and guide evolution in configurable process models,2013,0,3,0,True,True,3
User participation practice: To overcome the objective-subjective dichotomy,2013,1,0,0,False,False,1
Analysis of the importance of business process management depending on the organization structure and culture,2013,2,1,0,False,True,3
Investigation of offset-launch characteristics for two-mode optical fiber using FE-BPM,2013,5,0,0,False,False,5
Dynamic weaving in aspect oriented business process management,2013,3,1,0,False,False,4
Decision support for operational and financial risk management - The ProcessGene case study,2013,1,1,0,True,False,2
Half a century after Carl Adam Petri's Ph.D. thesis: A perspective on the field,2013,1,0,0,False,False,1
Supporting cognitive work in software development workflows,2013,2,1,1,False,False,4
Uses and applications of software and systems process engineering meta-model process models. a systematic mapping study,2013,4,1,0,False,False,5
Data-centric probabilistic process: A PhD. symposium paper for ICSOC,2013,1,0,0,False,False,1
Introduction to the Proceedings of the Workshop on Cloud-enabled Business Process Management (CeBPM) 2012,2013,1,1,0,True,False,2
Business process transparency management: An approach to aligning business processes and corporate strategy,2013,1,0,0,False,False,1
Designing interaction routines in service networks: A modularity and social construction-based approach,2013,6,0,0,False,False,6
Inferring state for real-time monitoring of care processes,2013,2,1,0,True,False,3
Detecting runtime business process compliance with artifact lifecycles,2013,0,0,1,False,False,1
Teaching business process management for heterogeneous audience,2013,0,1,0,True,True,1
REFlex: An efficient web service orchestrator for declarative business processes,2013,2,2,0,True,False,4
CoopIS 2013 PC co-chairs message,2013,1,2,0,False,True,3
Increasing recall of process model matching by improved activity label matching,2013,4,0,1,False,False,5
Levi - A workflow engine using BPMN 2.0,2013,1,2,2,False,True,5
Application of equivalence checking in a loan origination process in banking industry,2013,1,2,0,True,False,3
PPINOT tool suite: A performance management solution for process-oriented organisations,2013,2,2,0,True,False,4
Collective problem solving using social compute units,2013,2,1,2,False,False,5
Key information technology and management issues 2012-2013: An international study,2013,6,0,0,False,False,6
Toward a time-centric modeling of business processes in BPMN 2.0,2013,2,2,0,True,False,4
A genericworkflow metamodel to support resource-aware decision making,2013,3,2,1,False,False,6
Enforcement of entailment constraints in distributed service-based business processes,2013,4,0,1,False,False,5
Towards agent-based smart factories: A subject-oriented modeling approach,2013,2,0,0,False,False,2
A survey on time-aware business process modeling,2013,2,2,0,True,False,4
Business process compliance via security validation as a service,2013,3,0,0,False,False,3
Constructing hybrid architectures and dynamic services in Cloud BPM,2013,1,1,0,False,True,2
Supporting adaptation patterns in the event-driven business process modeling paradigm,2013,2,1,0,True,False,3
The S-BPM architecture: A framework for multi-agent systems,2013,3,0,0,False,False,3
Integration of social media technologies with ERP a prototype implementation,2013,2,0,0,False,False,2
Goal-driven social business process management,2013,2,0,0,False,False,2
A model-driven service integrated framework based on three-layer ontology,2013,1,1,1,False,True,3
Study on compactness of planar waveguide based integrated optic couplers using tooth shaped grating assisted geometry,2013,2,1,0,False,False,3
Setup and maintenance factors of ACM systems,2013,3,0,1,False,False,4
Ideas on improving the Business-IT alignment in BPM enabled by SOA,2013,2,0,0,False,False,2
Newer approach to flexible business architecture of modern enterprise,2013,3,0,1,False,False,4
